Video,PositiveAmount,PositivePercent,NegativeAmount,NegativePercent,AngerAmount,AngerPercent,AnticipationAmount,AnticipationPercent,DisgustAmount,DisgustPercent,FearAmount,FearPercent,JoyAmount,JoyPercent,SadnessAmount,SadnessPercent,SurpriseAmount,SurprisePercent,TrustAmount,TrustPercent,CommentLength,VideoFrame
1,103,0.078030303,118,0.089393939,81,0.061363636,58,0.043939394,75,0.056818182,47,0.035606061,47,0.035606061,52,0.039393939,32,0.024242424,72,0.054545455,1320,7
2,157,0.069777778,206,0.091555556,103,0.045777778,57,0.025333333,127,0.056444444,85,0.037777778,43,0.019111111,81,0.036,40,0.017777778,93,0.041333333,2250,2
3,209,0.13054341,201,0.125546533,97,0.060587133,119,0.074328545,78,0.04871955,105,0.06558401,97,0.060587133,79,0.04934416,77,0.048094941,104,0.0649594,1601,6
4,156,0.127659574,79,0.064648118,41,0.033551555,68,0.055646481,37,0.030278232,48,0.039279869,77,0.063011457,42,0.034369885,45,0.036824877,95,0.077741408,1222,2
6,293,0.12789175,262,0.114360541,162,0.07071148,122,0.053251855,141,0.061545177,119,0.051942383,101,0.044085552,126,0.054997818,64,0.027935399,151,0.065910083,2291,5
7,552,0.151067323,376,0.10290093,186,0.05090312,229,0.062671045,167,0.045703339,160,0.04378763,134,0.03667214,181,0.049534756,107,0.029282978,342,0.093596059,3654,7
8,165,0.126728111,159,0.122119816,126,0.096774194,56,0.043010753,57,0.043778802,84,0.064516129,37,0.028417819,57,0.043778802,76,0.058371736,102,0.078341014,1302,7
9,244,0.115969582,234,0.11121673,104,0.049429658,109,0.051806084,89,0.04230038,134,0.063688213,105,0.049904943,117,0.055608365,76,0.036121673,164,0.077946768,2104,4
10,308,0.090614887,391,0.115033833,171,0.050308914,150,0.044130627,133,0.039129156,210,0.061782877,82,0.024124743,207,0.060900265,77,0.022653722,175,0.051485731,3399,2
11,120,0.111111111,100,0.092592593,72,0.066666667,36,0.033333333,59,0.05462963,57,0.052777778,25,0.023148148,32,0.02962963,21,0.019444444,89,0.082407407,1080,7
12,105,0.109717868,93,0.097178683,61,0.063740857,38,0.039707419,44,0.045977011,37,0.038662487,35,0.036572623,45,0.047021944,33,0.034482759,78,0.081504702,957,7
13,104,0.117647059,87,0.09841629,52,0.058823529,42,0.047511312,49,0.055429864,35,0.03959276,28,0.031674208,33,0.037330317,18,0.020361991,80,0.090497738,884,7
14,114,0.084507042,180,0.133432172,59,0.043736101,43,0.031875463,58,0.042994811,115,0.085248332,28,0.020756116,114,0.084507042,33,0.024462565,71,0.052631579,1349,2
15,130,0.088495575,161,0.109598366,57,0.038801906,81,0.055139551,49,0.033356025,101,0.068754255,51,0.034717495,121,0.082368958,48,0.032675289,88,0.059904697,1469,2
16,44,0.085603113,52,0.101167315,29,0.056420233,17,0.03307393,30,0.058365759,22,0.042801556,30,0.058365759,17,0.03307393,17,0.03307393,44,0.085603113,514,7
17,259,0.106936416,252,0.104046243,143,0.059042114,117,0.048307184,123,0.050784476,123,0.050784476,82,0.033856317,110,0.045417011,67,0.027663088,155,0.063996697,2422,4
18,122,0.06407563,126,0.066176471,68,0.035714286,49,0.025735294,57,0.029936975,69,0.036239496,40,0.021008403,62,0.032563025,32,0.016806723,73,0.038340336,1904,2
19,248,0.078505856,628,0.198797088,499,0.15796138,70,0.022158911,546,0.172839506,163,0.051598607,84,0.026590693,179,0.056663501,51,0.016144349,164,0.051915163,3159,7
21,164,0.071304348,278,0.120869565,212,0.092173913,52,0.022608696,192,0.083478261,106,0.046086957,45,0.019565217,108,0.046956522,39,0.016956522,109,0.047391304,2300,6
22,60,0.074441687,78,0.096774194,42,0.052109181,23,0.02853598,35,0.043424318,36,0.044665012,18,0.022332506,33,0.040942928,19,0.023573201,42,0.052109181,806,7
23,118,0.069411765,185,0.108823529,119,0.07,71,0.041764706,115,0.067647059,75,0.044117647,31,0.018235294,79,0.046470588,34,0.02,77,0.045294118,1700,7
24,183,0.101949861,183,0.101949861,118,0.065738162,78,0.043454039,98,0.0545961,91,0.050696379,70,0.038997214,80,0.044568245,56,0.031197772,136,0.075766017,1795,6
25,66,0.110183639,41,0.068447412,25,0.041736227,20,0.033388982,15,0.025041736,16,0.026711185,20,0.033388982,18,0.030050083,11,0.01836394,43,0.071786311,599,7
26,218,0.063261753,430,0.124782356,230,0.066744051,82,0.023795705,269,0.078061521,213,0.061810795,70,0.020313407,219,0.063551944,57,0.016540917,153,0.044399304,3446,2
27,265,0.099437148,329,0.123452158,137,0.051407129,151,0.056660413,112,0.042026266,218,0.081801126,90,0.033771107,173,0.064915572,78,0.029268293,179,0.067166979,2665,3
28,77,0.060062402,129,0.100624025,77,0.060062402,43,0.033541342,84,0.065522621,59,0.046021841,39,0.030421217,54,0.042121685,31,0.024180967,48,0.037441498,1282,2
29,92,0.060407091,166,0.108995404,60,0.039395929,45,0.029546947,61,0.040052528,91,0.059750492,37,0.024294156,76,0.04990151,34,0.02232436,52,0.034143139,1523,2
30,174,0.090909091,222,0.115987461,119,0.062173459,115,0.060083595,98,0.051201672,147,0.076802508,69,0.036050157,139,0.07262278,56,0.029258098,118,0.061650993,1914,2
32,219,0.131927711,198,0.119277108,133,0.080120482,96,0.057831325,75,0.045180723,127,0.076506024,63,0.037951807,68,0.040963855,101,0.060843373,149,0.089759036,1660,7
33,201,0.096727623,239,0.115014437,149,0.071703561,96,0.046198268,98,0.047160731,137,0.065928778,62,0.029836381,87,0.04186718,53,0.025505294,123,0.05919153,2078,7
34,41,0.078393881,35,0.066921606,28,0.053537285,14,0.026768642,28,0.053537285,19,0.036328872,20,0.038240918,8,0.015296367,10,0.019120459,20,0.038240918,523,6
35,309,0.115083799,335,0.124767225,204,0.075977654,144,0.053631285,165,0.061452514,190,0.070763501,117,0.043575419,163,0.060707635,113,0.042085661,192,0.07150838,2685,6
36,24,0.052060738,42,0.091106291,21,0.045553145,15,0.032537961,23,0.04989154,12,0.026030369,8,0.017353579,17,0.036876356,9,0.019522777,17,0.036876356,461,7
37,173,0.077543702,200,0.089645899,104,0.046615867,76,0.034065442,103,0.046167638,112,0.050201703,60,0.02689377,86,0.038547736,38,0.017032721,109,0.048857015,2231,6
38,318,0.088210818,506,0.14036061,153,0.042441054,163,0.045214979,167,0.046324549,407,0.112898752,146,0.040499307,277,0.076837725,178,0.049375867,198,0.054923717,3605,3
39,143,0.08703591,179,0.108947048,103,0.062690201,68,0.041387705,101,0.061472915,64,0.038953135,49,0.029823494,67,0.040779063,34,0.020693853,101,0.061472915,1643,7
40,181,0.119550859,189,0.124834875,129,0.085204756,73,0.048216645,92,0.060766182,120,0.079260238,45,0.029722589,92,0.060766182,53,0.035006605,130,0.085865258,1514,7
41,98,0.102296451,64,0.066805846,49,0.051148225,49,0.051148225,39,0.040709812,33,0.034446764,24,0.025052192,28,0.029227557,21,0.021920668,45,0.04697286,958,7
42,239,0.118492811,193,0.095686663,113,0.056023798,87,0.043133366,95,0.047099653,70,0.034705007,80,0.039662866,72,0.035696579,50,0.024789291,152,0.075359445,2017,4
43,122,0.073141487,140,0.083932854,80,0.047961631,62,0.037170264,72,0.043165468,89,0.053357314,37,0.022182254,43,0.025779376,43,0.025779376,96,0.057553957,1668,7
44,580,0.115629984,584,0.116427432,339,0.067583732,260,0.051834131,294,0.05861244,247,0.049242424,222,0.044258373,267,0.053229665,158,0.031499203,405,0.080741627,5016,6
45,299,0.112110986,221,0.082864642,142,0.053243345,111,0.041619798,137,0.051368579,101,0.037870266,92,0.034495688,99,0.03712036,56,0.020997375,202,0.075740532,2667,7
46,178,0.103188406,131,0.075942029,77,0.044637681,67,0.03884058,63,0.036521739,77,0.044637681,54,0.031304348,80,0.046376812,35,0.020289855,140,0.08115942,1725,7
48,385,0.117557252,366,0.111755725,187,0.057099237,206,0.062900763,137,0.041832061,204,0.062290076,170,0.051908397,201,0.061374046,100,0.030534351,211,0.064427481,3275,8
49,181,0.112913288,149,0.092950717,99,0.061759201,87,0.054273238,92,0.057392389,78,0.048658765,81,0.050530256,68,0.042420462,33,0.0205864,123,0.076731129,1603,7
50,106,0.0848,122,0.0976,87,0.0696,57,0.0456,71,0.0568,58,0.0464,33,0.0264,61,0.0488,27,0.0216,77,0.0616,1250,6
51,133,0.10572337,119,0.094594595,75,0.059618442,68,0.054054054,60,0.047694754,47,0.03736089,45,0.035771065,58,0.046104928,34,0.027027027,86,0.06836248,1258,6
52,135,0.090909091,133,0.08956229,84,0.056565657,81,0.054545455,72,0.048484848,62,0.041750842,60,0.04040404,57,0.038383838,47,0.031649832,89,0.05993266,1485,6
53,528,0.119268127,572,0.129207138,295,0.066636548,262,0.05918229,293,0.066184775,345,0.077930879,168,0.03794895,337,0.076123786,127,0.028687599,290,0.065507115,4427,2
54,135,0.081917476,149,0.090412621,77,0.046723301,86,0.052184466,46,0.027912621,99,0.060072816,53,0.032160194,82,0.049757282,36,0.02184466,96,0.058252427,1648,6
55,172,0.125364431,125,0.091107872,48,0.034985423,110,0.080174927,39,0.028425656,61,0.044460641,85,0.061953353,85,0.061953353,54,0.039358601,105,0.076530612,1372,8
57,282,0.120255864,292,0.124520256,162,0.069083156,128,0.054584222,142,0.060554371,135,0.057569296,74,0.031556503,156,0.06652452,59,0.025159915,185,0.078891258,2345,2
58,211,0.082550861,265,0.103677621,112,0.043818466,152,0.059467919,79,0.030907668,196,0.076682316,91,0.035602504,141,0.055164319,72,0.028169014,160,0.062597809,2556,2
59,277,0.107198142,287,0.111068111,145,0.056114551,128,0.049535604,135,0.052244582,166,0.064241486,112,0.043343653,121,0.046826625,86,0.033281734,171,0.066176471,2584,6
60,166,0.115921788,137,0.095670391,85,0.059357542,82,0.05726257,67,0.046787709,69,0.048184358,83,0.057960894,69,0.048184358,65,0.045391061,124,0.086592179,1432,6
61,53,0.069736842,97,0.127631579,80,0.105263158,16,0.021052632,86,0.113157895,45,0.059210526,9,0.011842105,39,0.051315789,3,0.003947368,30,0.039473684,760,4
62,219,0.075257732,372,0.127835052,158,0.054295533,98,0.033676976,152,0.052233677,220,0.075601375,79,0.027147766,166,0.057044674,84,0.028865979,142,0.048797251,2910,2
63,68,0.074074074,72,0.078431373,37,0.040305011,50,0.054466231,29,0.031590414,37,0.040305011,25,0.027233115,33,0.035947712,20,0.021786492,58,0.063180828,918,7
64,105,0.063253012,134,0.080722892,38,0.022891566,60,0.036144578,40,0.024096386,105,0.063253012,37,0.022289157,81,0.048795181,28,0.01686747,80,0.048192771,1660,2
65,131,0.108894431,113,0.093931837,83,0.068994181,53,0.044056525,63,0.052369077,62,0.051537822,39,0.032418953,44,0.036575229,27,0.02244389,93,0.077306733,1203,7
66,205,0.104645227,269,0.137314957,154,0.078611536,102,0.052067381,157,0.08014293,132,0.067381317,52,0.026544155,123,0.062787136,38,0.019397652,167,0.085247575,1959,6
67,206,0.08003108,234,0.090909091,123,0.047785548,77,0.02991453,119,0.046231546,119,0.046231546,54,0.020979021,93,0.036130536,42,0.016317016,122,0.047397047,2574,6
68,194,0.096182449,238,0.117997025,127,0.062964799,115,0.057015369,88,0.043629152,157,0.077838374,77,0.038175508,111,0.055032226,95,0.047099653,142,0.070401587,2017,6
69,127,0.090520314,154,0.10976479,103,0.073414113,39,0.027797577,85,0.060584462,78,0.055595153,35,0.024946543,73,0.052031361,54,0.038488952,112,0.079828938,1403,7
70,118,0.086131387,157,0.11459854,93,0.067883212,60,0.04379562,95,0.069343066,82,0.059854015,37,0.027007299,65,0.047445255,32,0.023357664,89,0.064963504,1370,4
71,125,0.141884222,130,0.147559591,100,0.113507378,43,0.048808173,51,0.057888763,82,0.09307605,31,0.035187287,47,0.053348468,62,0.070374574,71,0.080590238,881,7
72,99,0.075056861,106,0.080363912,38,0.028809704,25,0.018953753,56,0.042456406,55,0.041698256,38,0.028809704,53,0.040181956,19,0.014404852,57,0.043214556,1319,8
73,137,0.097508897,124,0.088256228,76,0.054092527,59,0.041992883,70,0.049822064,37,0.02633452,49,0.034875445,44,0.031316726,37,0.02633452,94,0.066903915,1405,6
74,372,0.132999642,273,0.097604576,167,0.059706829,187,0.066857347,153,0.054701466,90,0.032177333,144,0.051483733,90,0.032177333,54,0.0193064,237,0.084733643,2797,3
75,60,0.072115385,60,0.072115385,34,0.040865385,24,0.028846154,25,0.030048077,28,0.033653846,20,0.024038462,28,0.033653846,12,0.014423077,46,0.055288462,832,7
76,156,0.084690554,206,0.111834962,98,0.05320304,61,0.033116178,95,0.051574376,122,0.066232356,38,0.02062975,107,0.058089034,34,0.018458198,80,0.043431053,1842,2
77,174,0.064325323,139,0.051386322,80,0.029574861,45,0.01663586,68,0.025138632,74,0.027356747,69,0.025508318,95,0.035120148,39,0.014417745,103,0.038077634,2705,8
78,28,0.049557522,37,0.065486726,30,0.053097345,9,0.015929204,12,0.021238938,25,0.044247788,9,0.015929204,16,0.028318584,28,0.049557522,20,0.03539823,565,8
79,59,0.112380952,60,0.114285714,26,0.04952381,39,0.074285714,36,0.068571429,53,0.100952381,36,0.068571429,44,0.083809524,29,0.055238095,47,0.08952381,525,2
80,60,0.061728395,125,0.128600823,69,0.070987654,36,0.037037037,74,0.076131687,54,0.055555556,19,0.019547325,59,0.060699588,31,0.031893004,45,0.046296296,972,7
81,95,0.078642384,186,0.15397351,135,0.111754967,31,0.025662252,140,0.11589404,49,0.040562914,32,0.026490066,64,0.052980132,22,0.018211921,51,0.042218543,1208,3
83,100,0.093896714,88,0.082629108,48,0.045070423,31,0.029107981,52,0.048826291,45,0.042253521,21,0.01971831,45,0.042253521,20,0.018779343,62,0.058215962,1065,7
86,35,0.064220183,38,0.069724771,27,0.049541284,20,0.036697248,23,0.042201835,25,0.04587156,9,0.016513761,22,0.040366972,9,0.016513761,27,0.049541284,545,8
93,46,0.084714549,44,0.081031308,26,0.047882136,18,0.033149171,23,0.042357274,44,0.081031308,11,0.020257827,27,0.049723757,11,0.020257827,35,0.064456722,543,3
95,216,0.117711172,132,0.071934605,86,0.046866485,96,0.052316076,63,0.034332425,85,0.046321526,77,0.041961853,69,0.03760218,48,0.026158038,160,0.08719346,1835,6
96,219,0.11202046,165,0.084398977,73,0.037340153,120,0.061381074,60,0.030690537,71,0.036317136,64,0.032736573,86,0.04398977,48,0.02455243,158,0.080818414,1955,4
