VideoNo,PositivePercent,NegativePercent,AngerPercent,AnticipationPercent,DisgustPercent,FearPercent,JoyPercent,SadnessPercent,SurprisePercent,TrustPercent,VideoFrame
1,0.13048433,0.096296296,0.063247863,0.051282051,0.055840456,0.044444444,0.045014245,0.037606838,0.030769231,0.090598291,6
2,0.080109552,0.134885313,0.065730914,0.033207806,0.04827114,0.096199932,0.029099623,0.076343718,0.031496063,0.044505306,2
3,0.058350101,0.23943662,0.068410463,0.040241449,0.060362173,0.195171026,0.014084507,0.088531187,0.036217304,0.046277666,2
4,0.062189055,0.134328358,0.054726368,0.024875622,0.019900498,0.094527363,0.009950249,0.084577114,0.02238806,0.024875622,3
5,0.101580135,0.081264108,0.045146727,0.0496614,0.038374718,0.051918736,0.063205418,0.074492099,0.038374718,0.079006772,8
6,0.097386172,0.076728499,0.034148398,0.073777403,0.028667791,0.041736931,0.03920742,0.036677909,0.03836425,0.054384486,3
7,0.075829384,0.206951027,0.060031596,0.042654028,0.050552923,0.131121643,0.031595577,0.113744076,0.025276461,0.055292259,2
8,0.088861076,0.155193992,0.088861076,0.032540676,0.068836045,0.113892365,0.020025031,0.088861076,0.028785982,0.047559449,7
10,0.102564103,0.128205128,0.05982906,0.051282051,0.032051282,0.085470085,0.022435897,0.069444444,0.018162393,0.066239316,2
11,0.085539715,0.085539715,0.075356415,0.063136456,0.042769857,0.077393075,0.050916497,0.061099796,0.020366599,0.079429735,7
12,0.085477941,0.069852941,0.028492647,0.037683824,0.012867647,0.030330882,0.018382353,0.033088235,0.020220588,0.034007353,3
13,0.075055188,0.158940397,0.059602649,0.033112583,0.059602649,0.10816777,0.022075055,0.090507726,0.030905077,0.035320088,2
14,0.049382716,0.264197531,0.086419753,0.051851852,0.086419753,0.204938272,0.017283951,0.083950617,0.019753086,0.027160494,2
15,0.062962963,0.114814815,0.040740741,0.033333333,0.037037037,0.07037037,0.040740741,0.059259259,0.048148148,0.040740741,3
16,0.047858942,0.105793451,0.047858942,0.037783375,0.042821159,0.073047859,0.010075567,0.057934509,0.022670025,0.025188917,3
17,0.099022005,0.185819071,0.118581907,0.055012225,0.073349633,0.105134474,0.037897311,0.068459658,0.04400978,0.073349633,6
19,0.086111111,0.180555556,0.111111111,0.044444444,0.097222222,0.108333333,0.038888889,0.1,0.025,0.052777778,2
20,0.089414183,0.155190134,0.083247688,0.050359712,0.072970195,0.132579651,0.027749229,0.107913669,0.028776978,0.050359712,6
21,0.154228856,0.054726368,0.059701493,0.044776119,0.014925373,0.024875622,0.054726368,0.024875622,0.014925373,0.084577114,3
22,0.072824156,0.094138544,0.051509769,0.024866785,0.03374778,0.069271758,0.010657194,0.035523979,0.030195382,0.03374778,3
23,0.100900901,0.117117117,0.041441441,0.075675676,0.036036036,0.077477477,0.037837838,0.064864865,0.025225225,0.086486486,3
27,0.094117647,0.054901961,0.02745098,0.066666667,0.02745098,0.023529412,0.039215686,0.047058824,0.011764706,0.082352941,8
28,0.213930348,0.044776119,0.019900498,0.074626866,0.014925373,0.019900498,0.149253731,0.029850746,0.059701493,0.213930348,3
29,0.073979592,0.113520408,0.041241497,0.031037415,0.036989796,0.083758503,0.019557823,0.06547619,0.015306122,0.038265306,7
30,0.084012002,0.099014145,0.063009001,0.03214745,0.065152165,0.058294042,0.029575654,0.057436777,0.026146592,0.050578654,7
31,0.119402985,0.117537313,0.044776119,0.048507463,0.035447761,0.076492537,0.037313433,0.059701493,0.041044776,0.087686567,2
32,0.077803204,0.139588101,0.059496568,0.057208238,0.041189931,0.086956522,0.022883295,0.089244851,0.020594966,0.059496568,2
33,0.097560976,0.134146341,0.113821138,0.044715447,0.06097561,0.119918699,0.028455285,0.071138211,0.026422764,0.081300813,3
34,0.085526316,0.108552632,0.052631579,0.036184211,0.052631579,0.072368421,0.029605263,0.072368421,0.039473684,0.049342105,3
37,0.073619632,0.088957055,0.021472393,0.030674847,0.021472393,0.055214724,0.030674847,0.039877301,0.006134969,0.064417178,3
39,0.065671642,0.089552239,0.059701493,0.032835821,0.065671642,0.050746269,0.014925373,0.03880597,0.011940299,0.056716418,6
43,0.058313253,0.119518072,0.057349398,0.04,0.049156627,0.081445783,0.026024096,0.059759036,0.021204819,0.05253012,2
44,0.113348248,0.093214019,0.062639821,0.061148397,0.038777032,0.061894109,0.034302759,0.038777032,0.032811335,0.093214019,7
45,0.077844311,0.089820359,0.0499002,0.047904192,0.03992016,0.061876248,0.031936128,0.057884232,0.033932136,0.063872255,2
46,0.11622807,0.118421053,0.054824561,0.063596491,0.037280702,0.065789474,0.063596491,0.065789474,0.048245614,0.083333333,3
47,0.082733813,0.14028777,0.09352518,0.043165468,0.082733813,0.064748201,0.032374101,0.071942446,0.010791367,0.061151079,2
48,0.047619048,0.104166667,0.044642857,0.035714286,0.05952381,0.080357143,0.026785714,0.074404762,0.023809524,0.035714286,2
49,0.074226804,0.088659794,0.072164948,0.035051546,0.039175258,0.059793814,0.012371134,0.039175258,0.020618557,0.037113402,2
50,0.048245614,0.114035088,0.052631579,0.035087719,0.039473684,0.065789474,0.026315789,0.035087719,0.030701754,0.026315789,2
51,0.094339623,0.075471698,0.030874786,0.046312178,0.02915952,0.051457976,0.022298456,0.039451115,0.015437393,0.072041166,4
52,0.145228216,0.128630705,0.053941909,0.049792531,0.049792531,0.074688797,0.070539419,0.128630705,0.045643154,0.095435685,2
53,0.080118694,0.272997033,0.06231454,0.047477745,0.041543027,0.246290801,0.017804154,0.077151335,0.014836795,0.041543027,2
54,0.081967213,0.107728337,0.023419204,0.044496487,0.023419204,0.06557377,0.028103044,0.067915691,0.014051522,0.053864169,2
55,0.06870229,0.066157761,0.03562341,0.06870229,0.03307888,0.03562341,0.030534351,0.03307888,0.017811705,0.061068702,3
56,0.088996764,0.132686084,0.069579288,0.048543689,0.047734628,0.072815534,0.03236246,0.065533981,0.020226537,0.078478964,3
57,0.109634551,0.102990033,0.059800664,0.063122924,0.03654485,0.083056478,0.026578073,0.07641196,0.013289037,0.086378738,8
58,0.055555556,0.185185185,0.075757576,0.048821549,0.045454545,0.178451178,0.023569024,0.11952862,0.028619529,0.038720539,2
59,0.087336245,0.109170306,0.069868996,0.03930131,0.065502183,0.074235808,0.026200873,0.061135371,0.043668122,0.058951965,3
60,0.085106383,0.109042553,0.063829787,0.031914894,0.058510638,0.053191489,0.042553191,0.042553191,0.026595745,0.071808511,8
62,0.133333333,0.073333333,0.026666667,0.04,0.026666667,0.023333333,0.043333333,0.023333333,0.006666667,0.083333333,4
64,0.050810811,0.113513514,0.061621622,0.022702703,0.028108108,0.037837838,0.019459459,0.085405405,0.015135135,0.03027027,8
65,0.084524549,0.139216905,0.044126787,0.026724674,0.045369795,0.089496582,0.026724674,0.094468614,0.023617154,0.048477315,2
66,0.086757991,0.136986301,0.04109589,0.0456621,0.043378995,0.095890411,0.01826484,0.089041096,0.00913242,0.038812785,3
67,0.080789946,0.091561939,0.0502693,0.021543986,0.035906643,0.059245961,0.023339318,0.052064632,0.008976661,0.044883303,2
68,0.088531187,0.189134809,0.052313883,0.030181087,0.072434608,0.14084507,0.024144869,0.046277666,0.028169014,0.046277666,2
69,0.095098039,0.125490196,0.051960784,0.064705882,0.042156863,0.06372549,0.021568627,0.062745098,0.02254902,0.042156863,4
70,0.081081081,0.138996139,0.073359073,0.040540541,0.073359073,0.065637066,0.027027027,0.063706564,0.007722008,0.069498069,2
71,0.117957746,0.11971831,0.063380282,0.066901408,0.059859155,0.054577465,0.059859155,0.063380282,0.035211268,0.075704225,2
72,0.083984375,0.09375,0.048828125,0.0625,0.04296875,0.041015625,0.029296875,0.046875,0.017578125,0.046875,4
